Sequence	Order	Species	BOLD	GenBank
3785	Diptera	Bactrocera dorsalis	DACIN3049-20	NA
3786	Diptera	Bactrocera dorsalis	DACIN3050-20	NA
3787	Diptera	Bactrocera dorsalis	DACIN3051-20	NA
3788	Diptera	Bactrocera dorsalis	DACIN305-20	NA
3789	Diptera	Bactrocera dorsalis	DACIN3052-20	NA
3790	Diptera	Bactrocera dorsalis	DACIN3053-20	NA
3791	Diptera	Bactrocera dorsalis	DACIN3054-20	NA
3792	Diptera	Bactrocera dorsalis	DACIN3055-20	NA
3793	Diptera	Bactrocera dorsalis	DACIN3056-20	NA
3794	Diptera	Bactrocera dorsalis	DACIN3057-20	NA
3795	Diptera	Bactrocera dorsalis	DACIN3058-20	NA
3796	Diptera	Bactrocera dorsalis	DACIN3059-20	NA
3797	Diptera	Bactrocera dorsalis	DACIN3060-20	NA
3798	Diptera	Bactrocera dorsalis	DACIN3061-20	NA
3799	Diptera	Bactrocera dorsalis	DACIN306-20	NA
3800	Diptera	Bactrocera dorsalis	DACIN3062-20	NA
3801	Diptera	Bactrocera dorsalis	DACIN3063-20	NA
3802	Diptera	Bactrocera dorsalis	DACIN3064-20	NA
3803	Diptera	Bactrocera dorsalis	DACIN3065-20	NA
3804	Diptera	Bactrocera dorsalis	DACIN3066-20	NA
3805	Diptera	Bactrocera dorsalis	DACIN3068-20	NA
3806	Diptera	Bactrocera dorsalis	DACIN3069-20	NA
3807	Diptera	Bactrocera dorsalis	DACIN3070-20	NA
3808	Diptera	Bactrocera dorsalis	DACIN3071-20	NA
3809	Diptera	Bactrocera dorsalis	DACIN307-20	NA
3810	Diptera	Bactrocera dorsalis	DACIN3072-20	NA
3811	Diptera	Bactrocera dorsalis	DACIN3073-20	NA
3812	Diptera	Bactrocera dorsalis	DACIN3074-20	NA
3813	Diptera	Bactrocera dorsalis	DACIN3075-20	NA
3814	Diptera	Bactrocera dorsalis	DACIN3076-20	NA
3815	Diptera	Bactrocera dorsalis	DACIN3126-20	NA
3816	Diptera	Bactrocera dorsalis	DACIN3127-20	NA
3817	Diptera	Bactrocera dorsalis	DACIN3128-20	NA
3818	Diptera	Bactrocera dorsalis	DACIN3129-20	NA
3819	Diptera	Bactrocera dorsalis	DACIN3130-20	NA
3820	Diptera	Bactrocera dorsalis	DACIN3131-20	NA
3821	Diptera	Bactrocera dorsalis	DACIN3235-20	NA
3822	Diptera	Bactrocera dorsalis	DACIN313-20	NA
3823	Diptera	Bactrocera dorsalis	DACIN3132-20	NA
3824	Diptera	Bactrocera dorsalis	DACIN3133-20	NA
3825	Diptera	Bactrocera dorsalis	DACIN3134-20	NA
3826	Diptera	Bactrocera dorsalis	DACIN3135-20	NA
3827	Diptera	Bactrocera dorsalis	DACIN3136-20	NA
3828	Diptera	Bactrocera dorsalis	DACIN3137-20	NA
3829	Diptera	Bactrocera dorsalis	DACIN3138-20	NA
3830	Diptera	Bactrocera dorsalis	DACIN3139-20	NA
3831	Diptera	Bactrocera dorsalis	DACIN3140-20	NA
3832	Diptera	Bactrocera dorsalis	DACIN3141-20	NA
3833	Diptera	Bactrocera dorsalis	DACIN314-20	NA
3834	Diptera	Bactrocera dorsalis	DACIN3142-20	NA
3835	Diptera	Bactrocera dorsalis	DACIN3143-20	NA
3836	Diptera	Bactrocera dorsalis	DACIN3144-20	NA
3837	Diptera	Bactrocera dorsalis	DACIN3145-20	NA
3838	Diptera	Bactrocera dorsalis	DACIN3146-20	NA
3839	Diptera	Bactrocera dorsalis	DACIN3147-20	NA
3840	Diptera	Bactrocera dorsalis	DACIN3148-20	NA
3841	Diptera	Bactrocera dorsalis	DACIN3149-20	NA
3842	Diptera	Bactrocera dorsalis	DACIN3150-20	NA
3843	Diptera	Bactrocera dorsalis	DACIN3151-20	NA
3844	Diptera	Bactrocera dorsalis	DACIN315-20	NA
3845	Diptera	Bactrocera dorsalis	DACIN3152-20	NA
3846	Diptera	Bactrocera dorsalis	DACIN3153-20	NA
3847	Diptera	Bactrocera dorsalis	DACIN3154-20	NA
3848	Diptera	Bactrocera dorsalis	DACIN3155-20	NA
3849	Diptera	Bactrocera dorsalis	DACIN3156-20	NA
3850	Diptera	Bactrocera dorsalis	DACIN3157-20	NA
3851	Diptera	Bactrocera dorsalis	DACIN3158-20	NA
3852	Diptera	Bactrocera dorsalis	DACIN3159-20	NA
3853	Diptera	Bactrocera dorsalis	DACIN3160-20	NA
3854	Diptera	Bactrocera dorsalis	DACIN3161-20	NA
3855	Diptera	Bactrocera dorsalis	DACIN316-20	NA
3856	Diptera	Bactrocera dorsalis	DACIN3162-20	NA
3857	Diptera	Bactrocera dorsalis	DACIN3164-20	NA
3858	Diptera	Bactrocera dorsalis	DACIN3165-20	NA
3859	Diptera	Bactrocera dorsalis	DACIN3166-20	NA
3860	Diptera	Bactrocera dorsalis	DACIN3167-20	NA
3861	Diptera	Bactrocera dorsalis	DACIN3168-20	NA
3862	Diptera	Bactrocera dorsalis	DACIN3169-20	NA
3863	Diptera	Bactrocera dorsalis	DACIN3170-20	NA
3864	Diptera	Bactrocera dorsalis	DACIN3171-20	NA
3865	Diptera	Bactrocera dorsalis	DACIN317-20	NA
3866	Diptera	Bactrocera dorsalis	DACIN3172-20	NA
3867	Diptera	Bactrocera dorsalis	DACIN3173-20	NA
3868	Diptera	Bactrocera dorsalis	DACIN3174-20	NA
3869	Diptera	Bactrocera dorsalis	DACIN3175-20	NA
3870	Diptera	Bactrocera dorsalis	DACIN3176-20	NA
3871	Diptera	Bactrocera dorsalis	DACIN3177-20	NA
3872	Diptera	Bactrocera dorsalis	DACIN3178-20	NA
3873	Diptera	Bactrocera dorsalis	DACIN3179-20	NA
3874	Diptera	Bactrocera dorsalis	DACIN3180-20	NA
3875	Diptera	Bactrocera dorsalis	DACIN3181-20	NA
3876	Diptera	Bactrocera dorsalis	DACIN318-20	NA
3877	Diptera	Bactrocera dorsalis	DACIN3182-20	NA
3878	Diptera	Bactrocera dorsalis	DACIN3183-20	NA
3879	Diptera	Bactrocera dorsalis	DACIN3184-20	NA
3880	Diptera	Bactrocera dorsalis	DACIN3185-20	NA
3881	Diptera	Bactrocera dorsalis	DACIN3186-20	NA
3882	Diptera	Bactrocera dorsalis	DACIN3187-20	NA
3883	Diptera	Bactrocera dorsalis	DACIN3188-20	NA
3884	Diptera	Bactrocera dorsalis	DACIN3189-20	NA
3885	Diptera	Bactrocera dorsalis	DACIN3190-20	NA
3886	Diptera	Bactrocera dorsalis	DACIN3191-20	NA
3887	Diptera	Bactrocera dorsalis	DACIN319-20	NA
3888	Diptera	Bactrocera dorsalis	DACIN3192-20	NA
3889	Diptera	Bactrocera dorsalis	DACIN3193-20	NA
3890	Diptera	Bactrocera dorsalis	DACIN3194-20	NA
3891	Diptera	Bactrocera dorsalis	DACIN3195-20	NA
3892	Diptera	Bactrocera dorsalis	DACIN3196-20	NA
3893	Diptera	Bactrocera dorsalis	DACIN3197-20	NA
3894	Diptera	Bactrocera dorsalis	DACIN3198-20	NA
3895	Diptera	Bactrocera dorsalis	DACIN3199-20	NA
3896	Diptera	Bactrocera dorsalis	DACIN3200-20	NA
3897	Diptera	Bactrocera dorsalis	DACIN3201-20	NA
3898	Diptera	Bactrocera dorsalis	DACIN320-20	NA
3899	Diptera	Bactrocera dorsalis	DACIN3202-20	NA
3900	Diptera	Bactrocera dorsalis	DACIN3203-20	NA
3901	Diptera	Bactrocera dorsalis	DACIN3204-20	NA
3902	Diptera	Bactrocera dorsalis	DACIN3206-20	NA
3903	Diptera	Bactrocera dorsalis	DACIN3207-20	NA
3904	Diptera	Bactrocera dorsalis	DACIN3208-20	NA
3905	Diptera	Bactrocera dorsalis	DACIN3209-20	NA
3906	Diptera	Bactrocera dorsalis	DACIN3210-20	NA
3907	Diptera	Bactrocera dorsalis	DACIN3211-20	NA
3908	Diptera	Bactrocera dorsalis	DACIN3212-20	NA
3909	Diptera	Bactrocera dorsalis	DACIN3213-20	NA
3910	Diptera	Bactrocera dorsalis	DACIN3214-20	NA
3911	Diptera	Bactrocera dorsalis	DACIN3215-20	NA
3912	Diptera	Bactrocera dorsalis	DACIN3216-20	NA
3913	Diptera	Bactrocera dorsalis	DACIN3217-20	NA
3914	Diptera	Bactrocera dorsalis	DACIN3218-20	NA
3915	Diptera	Bactrocera dorsalis	DACIN3219-20	NA
3916	Diptera	Bactrocera dorsalis	DACIN3220-20	NA
3917	Diptera	Bactrocera dorsalis	DACIN3221-20	NA
3918	Diptera	Bactrocera dorsalis	DACIN322-20	NA
3919	Diptera	Bactrocera dorsalis	DACIN3222-20	NA
3920	Diptera	Bactrocera dorsalis	DACIN3223-20	NA
3921	Diptera	Bactrocera dorsalis	DACIN3224-20	NA
3922	Diptera	Bactrocera dorsalis	DACIN3225-20	NA
3923	Diptera	Bactrocera dorsalis	DACIN3226-20	NA
3924	Diptera	Bactrocera dorsalis	DACIN3227-20	NA
3925	Diptera	Bactrocera dorsalis	DACIN3228-20	NA
3926	Diptera	Bactrocera dorsalis	DACIN3229-20	NA
3927	Diptera	Bactrocera dorsalis	DACIN3230-20	NA
3928	Diptera	Bactrocera dorsalis	DACIN3231-20	NA
3929	Diptera	Bactrocera dorsalis	DACIN323-20	NA
3930	Diptera	Bactrocera dorsalis	DACIN3232-20	NA
3931	Diptera	Bactrocera dorsalis	DACIN3233-20	NA
3932	Diptera	Bactrocera dorsalis	DACIN3234-20	NA
3933	Diptera	Bactrocera dorsalis	DACIN3236-20	NA
3934	Diptera	Bactrocera dorsalis	DACIN3237-20	NA
3935	Diptera	Bactrocera dorsalis	DACIN3238-20	NA
3936	Diptera	Bactrocera dorsalis	DACIN3239-20	NA
3937	Diptera	Bactrocera dorsalis	DACIN3241-20	NA
3938	Diptera	Bactrocera dorsalis	DACIN3242-20	NA
3939	Diptera	Bactrocera dorsalis	DACIN3243-20	NA
3940	Diptera	Bactrocera dorsalis	DACIN3244-20	NA
3941	Diptera	Bactrocera dorsalis	DACIN3245-20	NA
3942	Diptera	Bactrocera dorsalis	DACIN3246-20	NA
3943	Diptera	Bactrocera dorsalis	DACIN3247-20	NA
3944	Diptera	Bactrocera dorsalis	DACIN3248-20	NA
3945	Diptera	Bactrocera dorsalis	DACIN3249-20	NA
3946	Diptera	Bactrocera dorsalis	DACIN3250-20	NA
3947	Diptera	Bactrocera dorsalis	DACIN074-20	NA
3948	Diptera	Bactrocera dorsalis	DACIN3077-20	NA
3949	Diptera	Bactrocera dorsalis	DACIN3078-20	NA
3950	Diptera	Bactrocera dorsalis	DACIN3079-20	NA
3951	Diptera	Bactrocera dorsalis	DACIN3080-20	NA
3952	Diptera	Bactrocera dorsalis	DACIN3081-20	NA
3953	Diptera	Bactrocera dorsalis	DACIN308-20	NA
3954	Diptera	Bactrocera dorsalis	DACIN3082-20	NA
3955	Diptera	Bactrocera dorsalis	DACIN3083-20	NA
3956	Diptera	Bactrocera dorsalis	DACIN3084-20	NA
3957	Diptera	Bactrocera dorsalis	DACIN3085-20	NA
3958	Diptera	Bactrocera dorsalis	DACIN3086-20	NA
3959	Diptera	Bactrocera dorsalis	DACIN3087-20	NA
3960	Diptera	Bactrocera dorsalis	DACIN3088-20	NA
3961	Diptera	Bactrocera dorsalis	DACIN3089-20	NA
3962	Diptera	Bactrocera dorsalis	DACIN3090-20	NA
3963	Diptera	Bactrocera dorsalis	DACIN3091-20	NA
3964	Diptera	Bactrocera dorsalis	DACIN309-20	NA
3965	Diptera	Bactrocera dorsalis	DACIN3092-20	NA
3966	Diptera	Bactrocera dorsalis	DACIN3093-20	NA
3967	Diptera	Bactrocera dorsalis	DACIN3094-20	NA
3968	Diptera	Bactrocera dorsalis	DACIN3095-20	NA
3969	Diptera	Bactrocera dorsalis	DACIN3096-20	NA
3970	Diptera	Bactrocera dorsalis	DACIN3097-20	NA
3971	Diptera	Bactrocera dorsalis	DACIN3098-20	NA
3972	Diptera	Bactrocera dorsalis	DACIN3099-20	NA
3973	Diptera	Bactrocera dorsalis	DACIN3100-20	NA
3974	Diptera	Bactrocera dorsalis	DACIN3101-20	NA
3975	Diptera	Bactrocera dorsalis	DACIN310-20	NA
3976	Diptera	Bactrocera dorsalis	DACIN3102-20	NA
3977	Diptera	Bactrocera dorsalis	DACIN3103-20	NA
3978	Diptera	Bactrocera dorsalis	DACIN3104-20	NA
3979	Diptera	Bactrocera dorsalis	DACIN3105-20	NA
3980	Diptera	Bactrocera dorsalis	DACIN3106-20	NA
3981	Diptera	Bactrocera dorsalis	DACIN3107-20	NA
3982	Diptera	Bactrocera dorsalis	DACIN3108-20	NA
3983	Diptera	Bactrocera dorsalis	DACIN3109-20	NA
3984	Diptera	Bactrocera dorsalis	DACIN3110-20	NA
3985	Diptera	Bactrocera dorsalis	DACIN3111-20	NA
3986	Diptera	Bactrocera dorsalis	DACIN311-20	NA
3987	Diptera	Bactrocera dorsalis	DACIN3112-20	NA
3988	Diptera	Bactrocera dorsalis	DACIN3113-20	NA
3989	Diptera	Bactrocera dorsalis	DACIN3114-20	NA
3990	Diptera	Bactrocera dorsalis	DACIN3115-20	NA
3991	Diptera	Bactrocera dorsalis	DACIN3116-20	NA
3992	Diptera	Bactrocera dorsalis	DACIN3117-20	NA
3993	Diptera	Bactrocera dorsalis	DACIN3118-20	NA
3994	Diptera	Bactrocera dorsalis	DACIN3119-20	NA
3995	Diptera	Bactrocera dorsalis	DACIN3120-20	NA
3996	Diptera	Bactrocera dorsalis	DACIN3121-20	NA
3997	Diptera	Bactrocera dorsalis	DACIN312-20	NA
3998	Diptera	Bactrocera dorsalis	DACIN3122-20	NA
3999	Diptera	Bactrocera dorsalis	DACIN3123-20	NA
4000	Diptera	Bactrocera dorsalis	DACIN3124-20	NA
4001	Diptera	Bactrocera dorsalis	DACIN3125-20	NA
4002	Diptera	Bactrocera dorsalis	DACIN3251-20	NA
4003	Diptera	Bactrocera dorsalis	DACIN3252-20	NA
4004	Diptera	Bactrocera dorsalis	DACIN3253-20	NA
4005	Diptera	Bactrocera dorsalis	DACIN3254-20	NA
4006	Diptera	Bactrocera dorsalis	DACIN3422-20	NA
4007	Diptera	Bactrocera dorsalis	DACIN3423-20	NA
4008	Diptera	Bactrocera dorsalis	DACIN3424-20	NA
4009	Diptera	Bactrocera dorsalis	DACIN3425-20	NA
4010	Diptera	Bactrocera dorsalis	DACIN3426-20	NA
4011	Diptera	Bactrocera dorsalis	DACIN3255-20	NA
4012	Diptera	Bactrocera dorsalis	DACIN3256-20	NA
4013	Diptera	Bactrocera dorsalis	DACIN3427-20	NA
4014	Diptera	Bactrocera dorsalis	DACIN3428-20	NA
4015	Diptera	Bactrocera dorsalis	DACIN3429-20	NA
4016	Diptera	Bactrocera dorsalis	DACIN3430-20	NA
4017	Diptera	Bactrocera dorsalis	DACIN3431-20	NA
4018	Diptera	Bactrocera dorsalis	DACIN343-20	NA
4019	Diptera	Bactrocera dorsalis	DACIN3432-20	NA
4020	Diptera	Bactrocera dorsalis	DACIN3433-20	NA
4021	Diptera	Bactrocera dorsalis	DACIN3434-20	NA
4022	Diptera	Bactrocera dorsalis	DACIN3435-20	NA
4023	Diptera	Bactrocera dorsalis	DACIN3436-20	NA
4024	Diptera	Bactrocera dorsalis	DACIN3437-20	NA
4025	Diptera	Bactrocera dorsalis	DACIN3438-20	NA
4026	Diptera	Bactrocera dorsalis	DACIN3439-20	NA
4027	Diptera	Bactrocera dorsalis	DACIN344-20	NA
4028	Diptera	Bactrocera dorsalis	DACIN345-20	NA
4029	Diptera	Bactrocera dorsalis	DACIN3457-20	NA
4030	Diptera	Bactrocera dorsalis	DACIN346-20	NA
4031	Diptera	Bactrocera dorsalis	DACIN347-20	NA
4032	Diptera	Bactrocera dorsalis	DACIN348-20	NA
4033	Diptera	Bactrocera dorsalis	DACIN3490-20	NA
4034	Diptera	Bactrocera dorsalis	DACIN349-20	NA
4035	Diptera	Bactrocera dorsalis	DACIN3499-20	NA
4036	Diptera	Bactrocera dorsalis	DACIN3501-20	NA
4037	Diptera	Bactrocera dorsalis	DACIN350-20	NA
4038	Diptera	Bactrocera dorsalis	DACIN351-20	NA
4039	Diptera	Bactrocera dorsalis	DACIN352-20	NA
4040	Diptera	Bactrocera dorsalis	DACIN353-20	NA
4041	Diptera	Bactrocera dorsalis	DACIN3067-20	NA
4042	Diptera	Bactrocera dorsalis	DACIN3257-20	NA
4043	Diptera	Bactrocera dorsalis	DACIN3258-20	NA
4044	Diptera	Bactrocera dorsalis	DACIN3259-20	NA
4045	Diptera	Bactrocera dorsalis	DACIN3260-20	NA
4046	Diptera	Bactrocera dorsalis	DACIN3261-20	NA
4047	Diptera	Bactrocera dorsalis	DACIN3262-20	NA
4048	Diptera	Bactrocera dorsalis	DACIN3264-20	NA
4049	Diptera	Bactrocera dorsalis	DACIN3265-20	NA
4050	Diptera	Bactrocera dorsalis	DACIN3266-20	NA
4051	Diptera	Bactrocera dorsalis	DACIN3267-20	NA
4052	Diptera	Bactrocera dorsalis	DACIN3268-20	NA
4053	Diptera	Bactrocera dorsalis	DACIN3269-20	NA
4054	Diptera	Bactrocera dorsalis	DACIN3270-20	NA
4055	Diptera	Bactrocera dorsalis	DACIN3271-20	NA
4056	Diptera	Bactrocera dorsalis	DACIN327-20	NA
4057	Diptera	Bactrocera dorsalis	DACIN3272-20	NA
4058	Diptera	Bactrocera dorsalis	DACIN3273-20	NA
4059	Diptera	Bactrocera dorsalis	DACIN3274-20	NA
4060	Diptera	Bactrocera dorsalis	DACIN3275-20	NA
4061	Diptera	Bactrocera dorsalis	DACIN3276-20	NA
4062	Diptera	Bactrocera dorsalis	DACIN3277-20	NA
4063	Diptera	Bactrocera dorsalis	DACIN3278-20	NA
4064	Diptera	Bactrocera dorsalis	DACIN3279-20	NA
4065	Diptera	Bactrocera dorsalis	DACIN3280-20	NA
4066	Diptera	Bactrocera dorsalis	DACIN3281-20	NA
4067	Diptera	Bactrocera dorsalis	DACIN3282-20	NA
4068	Diptera	Bactrocera dorsalis	DACIN3283-20	NA
4069	Diptera	Bactrocera dorsalis	DACIN3284-20	NA
4070	Diptera	Bactrocera dorsalis	DACIN3285-20	NA
4071	Diptera	Bactrocera dorsalis	DACIN3286-20	NA
4072	Diptera	Bactrocera dorsalis	DACIN3287-20	NA
4073	Diptera	Bactrocera dorsalis	DACIN3288-20	NA
4074	Diptera	Bactrocera dorsalis	DACIN3289-20	NA
4075	Diptera	Bactrocera dorsalis	DACIN3290-20	NA
4076	Diptera	Bactrocera dorsalis	DACIN3291-20	NA
4077	Diptera	Bactrocera dorsalis	DACIN3292-20	NA
4078	Diptera	Bactrocera dorsalis	DACIN3293-20	NA
4079	Diptera	Bactrocera dorsalis	DACIN3294-20	NA
4080	Diptera	Bactrocera dorsalis	DACIN3295-20	NA
4081	Diptera	Bactrocera dorsalis	DACIN3297-20	NA
4082	Diptera	Bactrocera dorsalis	DACIN3298-20	NA
4083	Diptera	Bactrocera dorsalis	DACIN3299-20	NA
4084	Diptera	Bactrocera dorsalis	DACIN3300-20	NA
4085	Diptera	Bactrocera dorsalis	DACIN3301-20	NA
4086	Diptera	Bactrocera dorsalis	DACIN3302-20	NA
4087	Diptera	Bactrocera dorsalis	DACIN3303-20	NA
4088	Diptera	Bactrocera dorsalis	DACIN3304-20	NA
4089	Diptera	Bactrocera dorsalis	DACIN3305-20	NA
4090	Diptera	Bactrocera dorsalis	DACIN3306-20	NA
4091	Diptera	Bactrocera dorsalis	DACIN3307-20	NA
4092	Diptera	Bactrocera dorsalis	DACIN3308-20	NA
4093	Diptera	Bactrocera dorsalis	DACIN3309-20	NA
4094	Diptera	Bactrocera dorsalis	DACIN3310-20	NA
4095	Diptera	Bactrocera dorsalis	DACIN3311-20	NA
4096	Diptera	Bactrocera dorsalis	DACIN3312-20	NA
4097	Diptera	Bactrocera dorsalis	DACIN3313-20	NA
4098	Diptera	Bactrocera dorsalis	DACIN3314-20	NA
4099	Diptera	Bactrocera dorsalis	DACIN3315-20	NA
4100	Diptera	Bactrocera dorsalis	DACIN3316-20	NA
4101	Diptera	Bactrocera dorsalis	DACIN3317-20	NA
4102	Diptera	Bactrocera dorsalis	DACIN3318-20	NA
4103	Diptera	Bactrocera dorsalis	DACIN3319-20	NA
4104	Diptera	Bactrocera dorsalis	DACIN3320-20	NA
4105	Diptera	Bactrocera dorsalis	DACIN3321-20	NA
4106	Diptera	Bactrocera dorsalis	DACIN3322-20	NA
4107	Diptera	Bactrocera dorsalis	DACIN3323-20	NA
4108	Diptera	Bactrocera dorsalis	DACIN3324-20	NA
4109	Diptera	Bactrocera dorsalis	DACIN3325-20	NA
4110	Diptera	Bactrocera dorsalis	DACIN3326-20	NA
4111	Diptera	Bactrocera dorsalis	DACIN3327-20	NA
4112	Diptera	Bactrocera dorsalis	DACIN3328-20	NA
4113	Diptera	Bactrocera dorsalis	DACIN3329-20	NA
4114	Diptera	Bactrocera dorsalis	DACIN3331-20	NA
4115	Diptera	Bactrocera dorsalis	DACIN3333-20	NA
4116	Diptera	Bactrocera dorsalis	DACIN3334-20	NA
4117	Diptera	Bactrocera dorsalis	DACIN3335-20	NA
4118	Diptera	Bactrocera dorsalis	DACIN3336-20	NA
4119	Diptera	Bactrocera dorsalis	DACIN3337-20	NA
4120	Diptera	Bactrocera dorsalis	DACIN3338-20	NA
4121	Diptera	Bactrocera dorsalis	DACIN3339-20	NA
4122	Diptera	Bactrocera dorsalis	DACIN3340-20	NA
4123	Diptera	Bactrocera dorsalis	DACIN3341-20	NA
4124	Diptera	Bactrocera dorsalis	DACIN3342-20	NA
4125	Diptera	Bactrocera dorsalis	DACIN3343-20	NA
4126	Diptera	Bactrocera dorsalis	DACIN3344-20	NA
4127	Diptera	Bactrocera dorsalis	DACIN3345-20	NA
4128	Diptera	Bactrocera dorsalis	DACIN3346-20	NA
4129	Diptera	Bactrocera dorsalis	DACIN3347-20	NA
4130	Diptera	Bactrocera dorsalis	DACIN3348-20	NA
4131	Diptera	Bactrocera dorsalis	DACIN3349-20	NA
4132	Diptera	Bactrocera dorsalis	DACIN3350-20	NA
4133	Diptera	Bactrocera dorsalis	DACIN3351-20	NA
4134	Diptera	Bactrocera dorsalis	DACIN3352-20	NA
4135	Diptera	Bactrocera dorsalis	DACIN3353-20	NA
4136	Diptera	Bactrocera dorsalis	DACIN3354-20	NA
4137	Diptera	Bactrocera dorsalis	DACIN3355-20	NA
4138	Diptera	Bactrocera dorsalis	DACIN3356-20	NA
4139	Diptera	Bactrocera dorsalis	DACIN3357-20	NA
4140	Diptera	Bactrocera dorsalis	DACIN3359-20	NA
4141	Diptera	Bactrocera dorsalis	DACIN3360-20	NA
4142	Diptera	Bactrocera dorsalis	DACIN3361-20	NA
4143	Diptera	Bactrocera dorsalis	DACIN336-20	NA
4144	Diptera	Bactrocera dorsalis	DACIN3362-20	NA
4145	Diptera	Bactrocera dorsalis	DACIN3363-20	NA
4146	Diptera	Bactrocera dorsalis	DACIN3364-20	NA
4147	Diptera	Bactrocera dorsalis	DACIN3366-20	NA
4148	Diptera	Bactrocera dorsalis	DACIN3367-20	NA
4149	Diptera	Bactrocera dorsalis	DACIN3368-20	NA
4150	Diptera	Bactrocera dorsalis	DACIN3369-20	NA
4151	Diptera	Bactrocera dorsalis	DACIN3370-20	NA
4152	Diptera	Bactrocera dorsalis	DACIN3371-20	NA
4153	Diptera	Bactrocera dorsalis	DACIN337-20	NA
4154	Diptera	Bactrocera dorsalis	DACIN3372-20	NA
4155	Diptera	Bactrocera dorsalis	DACIN3373-20	NA
4156	Diptera	Bactrocera dorsalis	DACIN3374-20	NA
4157	Diptera	Bactrocera dorsalis	DACIN3375-20	NA
4158	Diptera	Bactrocera dorsalis	DACIN3376-20	NA
4159	Diptera	Bactrocera dorsalis	DACIN3378-20	NA
4160	Diptera	Bactrocera dorsalis	DACIN3379-20	NA
4161	Diptera	Bactrocera dorsalis	DACIN3380-20	NA
4162	Diptera	Bactrocera dorsalis	DACIN3381-20	NA
4163	Diptera	Bactrocera dorsalis	DACIN338-20	NA
4164	Diptera	Bactrocera dorsalis	DACIN3382-20	NA
4165	Diptera	Bactrocera dorsalis	DACIN3383-20	NA
4166	Diptera	Bactrocera dorsalis	DACIN3384-20	NA
4167	Diptera	Bactrocera dorsalis	DACIN3385-20	NA
4168	Diptera	Bactrocera dorsalis	DACIN3386-20	NA
4169	Diptera	Bactrocera dorsalis	DACIN3387-20	NA
4170	Diptera	Bactrocera dorsalis	DACIN3388-20	NA
4171	Diptera	Bactrocera dorsalis	DACIN3389-20	NA
4172	Diptera	Bactrocera dorsalis	DACIN3390-20	NA
4173	Diptera	Bactrocera dorsalis	DACIN339-20	NA
4174	Diptera	Bactrocera dorsalis	DACIN3392-20	NA
4175	Diptera	Bactrocera dorsalis	DACIN3393-20	NA
4176	Diptera	Bactrocera dorsalis	DACIN3394-20	NA
4177	Diptera	Bactrocera dorsalis	DACIN3395-20	NA
4178	Diptera	Bactrocera dorsalis	DACIN3396-20	NA
4179	Diptera	Bactrocera dorsalis	DACIN3397-20	NA
4180	Diptera	Bactrocera dorsalis	DACIN3398-20	NA
4181	Diptera	Bactrocera dorsalis	DACIN3399-20	NA
4182	Diptera	Bactrocera dorsalis	DACIN3400-20	NA
4183	Diptera	Bactrocera dorsalis	DACIN3401-20	NA
4184	Diptera	Bactrocera dorsalis	DACIN340-20	NA
4185	Diptera	Bactrocera dorsalis	DACIN3402-20	NA
4186	Diptera	Bactrocera dorsalis	DACIN3404-20	NA
4187	Diptera	Bactrocera dorsalis	DACIN3405-20	NA
4188	Diptera	Bactrocera dorsalis	DACIN3406-20	NA
4189	Diptera	Bactrocera dorsalis	DACIN3407-20	NA
4190	Diptera	Bactrocera dorsalis	DACIN3408-20	NA
4191	Diptera	Bactrocera dorsalis	DACIN3409-20	NA
4192	Diptera	Bactrocera dorsalis	DACIN3410-20	NA
4193	Diptera	Bactrocera dorsalis	DACIN3411-20	NA
4194	Diptera	Bactrocera dorsalis	DACIN341-20	NA
4195	Diptera	Bactrocera dorsalis	DACIN3412-20	NA
4196	Diptera	Bactrocera dorsalis	DACIN3413-20	NA
4197	Diptera	Bactrocera dorsalis	DACIN3414-20	NA
4198	Diptera	Bactrocera dorsalis	DACIN3415-20	NA
4199	Diptera	Bactrocera dorsalis	DACIN3416-20	NA
4200	Diptera	Bactrocera dorsalis	DACIN3417-20	NA
4201	Diptera	Bactrocera dorsalis	DACIN3418-20	NA
4202	Diptera	Bactrocera dorsalis	DACIN3419-20	NA
4203	Diptera	Bactrocera dorsalis	DACIN3420-20	NA
4204	Diptera	Bactrocera dorsalis	DACIN3421-20	NA
4205	Diptera	Bactrocera dorsalis	DACIN342-20	NA
4206	Diptera	Bactrocera dorsalis	DACIN3548-20	NA
4207	Diptera	Bactrocera dorsalis	DACIN3550-20	NA
4208	Diptera	Bactrocera dorsalis	DACIN355-20	NA
4209	Diptera	Bactrocera dorsalis	DACIN3560-20	NA
4210	Diptera	Bactrocera dorsalis	DACIN356-20	NA
4211	Diptera	Bactrocera dorsalis	DACIN3563-20	NA
4212	Diptera	Bactrocera dorsalis	DACIN3564-20	NA
4213	Diptera	Bactrocera dorsalis	DACIN3565-20	NA
4214	Diptera	Bactrocera dorsalis	DACIN3566-20	NA
4215	Diptera	Bactrocera dorsalis	DACIN357-20	NA
4216	Diptera	Bactrocera dorsalis	DACIN3575-20	NA
4217	Diptera	Bactrocera dorsalis	DACIN3577-20	NA
4218	Diptera	Bactrocera dorsalis	DACIN3578-20	NA
4219	Diptera	Bactrocera dorsalis	DACIN3579-20	NA
4220	Diptera	Bactrocera dorsalis	DACIN3580-20	NA
4221	Diptera	Bactrocera dorsalis	DACIN3581-20	NA
4222	Diptera	Bactrocera dorsalis	DACIN3582-20	NA
