Male	Female	Sexual	TandemAttempt	Tandem	Mating	Oviposition	Hybrid	RI
Aeshna affinis	Aeshna cyanea	N	N	x	N	N	N	3
Aeshna canadensis	Aeshna subarctica	N	N	x	N	N	N	3
Aeshna subarctica	Aeshna canadensis	N	N	x	N	N	N	3
Aeshna confusa	Aeshna diffinis	N	N	N	N	N	x	6
Aeshna cyanea	Aeshna juncea	N	N	N	x	N	N	4
Aeshna grandis	Aeshna viridis	N	N	x	N	N	N	3
Aeshna interrupta	Aeshna canadensis	N	N	N	x	N	N	4
Aeshna juncea	Aeshna mixta	N	N	x	N	N	N	3
Aeshna subarctica	Aeshna juncea	x	x	x	N	N	N	3
Aeshna subarctica	Aeshna mixta	x	N	N	N	N	N	1
Coenagrion puella	Coenagrion pulchellum	N	N	N	N	N	x	6
Anax imperator	Anax parthenope	N	N	N	N	N	x	6
Anax junius	Anax strenuus	N	N	x	N	N	N	3
Anax junius	Anax walsinghami	N	N	N	x	N	N	4
Anax nigrofasciatus	Anax parthenope	 	N	N	N	N	x	6
Anax nigrofasciatus	Anax parthenope	 	N	N	N	N	x	6
Anax parthenope	Anax nigrofasciatus	N	N	N	N	N	x	6
Argia emma	Argia vivida	N	x	N	N	N	N	2
Argia plana	Argia moesta	N	N	N	N	x	N	5
Argia tibialis	Argia moesta	N	N	x	N	N	N	3
Boyeria grafiana	Boyeria vinosa	N	N	x	N	N	N	3
Calopteryx aequabilis	Calopteryx maculata	N	N	N	N	x	N	5
Calopteryx dimidiata	Calopteryx maculata	N	N	N	x	N	N	4
Calopteryx haemorrhoidalis	Calopteryx splendens	N	N	N	x	N	N	4
Calopteryx orientalis	Calopteryx samarcandica	N	N	N	N	N	x	6
Coenagrion splendens	Coenagrion pulchellum	N	N	N	N	N	x	6
Calopteryx splendens	Calopteryx virgo	N	N	x	N	N	x	6
Calopteryx virgo	Calopteryx splendens	N	N	N	N	N	N	-1
Coenagrion viridis	Coenagrion parvidens	N	N	N	N	N	x	6
Paracercion melanotum	Paracercion plagiosum	N	N	x	N	N	N	3
Coenagrion puella	Coenagrion pulchellum	x	N	N	N	N	x	6
Coenagrion pulchellum	Coenagrion puella	N	N	N	N	N	x	6
Cordulegaster bilineata	Cordulegaster diastatops	N	N	N	N	N	x	6
Dythemis multipunctata	Dythemis sterilis	N	N	N	N	N	x	6
Dythemis multipunctata	Dythemis sterilis	N	N	N	N	N	x	6
Enallagma anna	Enallagma civile	N	N	N	N	N	x	6
Enallagma anna	Enallagma carunculatum	N	N	N	N	N	x	6
Enallagma aspersum	Enallagma geminatum	N	N	x	N	N	N	3
Enallagma aspersum	Enallagma civile	N	N	x	N	N	N	3
Enallagma civile	Enallagma aspersum	x	N	x	N	N	N	3
Enallagma boreale	Enallagma carunculatum	N	N	x	N	N	N	3
Enallagma carunculatum	Enallagma boreale	N	N	x	N	N	N	3
Enallagma boreale	Enallagma cyathigerum	N	N	x	N	N	N	3
Enallagma cyathigerum	Enallagma boreale	N	N	x	N	N	N	3
Enallagma carunculatum	Enallagma civile	N	N	N	N	N	x	6
Enallagma civile	Enallagma carunculatum	N	N	x	N	N	x	6
Enallagma carunculatum	Enallagma basidens	N	N	x	N	N	N	3
Enallagma cyathigerum	Enallagma praevarum	N	x	N	N	N	N	2
Enallagma cyathigerum	Enallagma vernale	N	N	N	N	N	x	6
Epitheca cynosura	Epitheca spinosa	N	N	N	N	N	x	6
Enallagma ebrium	Enallagma hageni	N	N	N	N	N	x	6
Enallagma ebrium	Enallagma boreale	N	N	x	N	N	N	3
Enallagma pollutum	Enallagma dubium	N	N	x	N	N	N	3
Enallagma pollutum	Enallagma signatum	N	N	x	N	N	N	3
Enallagma signatum	Enallagma pollutum	N	N	x	N	N	N	3
Enallagma praevarum	Enallagma cyathigerum	N	N	x	N	N	N	3
Epitheca spinigera	Epitheca cynosura	N	N	x	N	N	N	3
Gomphurus externus	Gomphurus fraternus	N	N	N	N	N	x	6
Phanogomphus graslinellus	Phanogomphus lividus	N	N	N	N	N	x	6
Gomphus fraternus	Gomphus externus	N	N	N	N	N	x	6
Phanogomphus exilis	Phanogomphus spicatus	N	N	x	N	N	N	3
Gomphus simillimus	Gomphus vulgatissimus	N	N	N	x	N	N	4
Ischnura barberi	Ischnura ramburii	N	N	N	x	N	N	4
Ischnura capreolus	Ischnura cyane	N	N	N	N	N	N	-1
Ischnura damula	Ischnura demorsa	N	N	x	N	N	N	3
Ischnura demorsa	Ischnura damula	N	N	x	N	N	x	6
Ischnura denticollis	Ischnura gemina	N	N	N	N	N	x	6
Ischnura elegans	Ischnura genei	N	N	N	N	N	N	-1
Ischnura genei	Ischnura elegans	N	N	N	N	N	x	6
Ischnura elegans	Ischnura graellsii	N	N	N	N	N	x	6
Ischnura graellsii	Ischnura elegans	N	N	N	N	N	N	-1
Ischnura elegans	Ischnura saharensis	N	N	N	N	N	x	6
Ischnura elegans	Ischnura fountaineae	N	N	N	N	N	x	6
Ischnura genei	Ischnura graellsii	N	N	N	N	N	x	6
Ischnura graellsii	Ischnura genei	N	N	N	N	N	N	-1
Ischnura genei	Ischnura saharensis	N	N	N	N	N	x	6
Ischnura graellsii	Ischnura saharensis	N	N	N	N	N	x	6
Ischnura saharensis	Ischnura graellsii	N	N	N	N	N	x	6
Ischnura pumilio	Ischnura elegans	N	x	N	N	N	N	2
Ischnura pumilio	Ischnura graellsii	N	N	N	x	N	N	4
Lestes barbarus	Lestes sponsa	N	N	x	N	N	N	3
Lestes sponsa	Lestes barbarus	N	N	x	N	N	N	3
Lestes barbarus	Lestes dryas	N	N	x	N	N	N	3
Lestes disjunctus	Lestes vigilax	N	N	x	N	N	N	3
Lestes dryas	Lestes sponsa	N	N	N	x	N	N	4
Lestes inaequalis	Lestes disjunctus	N	N	x	N	N	N	3
Chalcolestes parvidens	Chalcolestes viridis	N	x	N	N	N	N	2
Lestes rectangularis	Lestes congener	N	N	x	N	N	N	3
Lestes rectangularis	Lestes unguiculatus	N	N	x	N	N	N	3
Lestes sponsa	Lestes temporalis	N	N	x	N	N	N	3
Lestes sponsa	Lestes virens	N	N	x	N	N	N	3
Lestes unguiculatus	Lestes dryas	N	N	x	N	N	N	3
Lestes virens	Lestes barbarus	x	N	N	N	N	N	1
Leucorrhinia glacialis	Leucorrhinia intacta	N	N	N	N	N	x	6
Leucorrhinia dubia	Leucorrhinia rubicunda	N	x	x	N	N	N	3
Leucorrhinia rubicunda	Leucorrhinia dubia	N	x	x	N	N	N	3
Leucorrhinia glacialis	Leucorrhinia intacta	N	N	x	N	N	N	3
Leucorrhinia hudsonica	Leucorrhinia proxima	N	N	N	x	N	N	4
Libellula pulchella	Libellula luctuosa	N	N	N	x	N	x	6
Libellula angelina	Libellula quadrimaculata	N	N	N	N	N	x	6
Libellula quadrimaculata	Libellula angelina	N	N	N	x	N	x	6
Libellula auripennis	Libellula cyanea	N	N	x	N	N	N	3
Libellula auripennis	Libellula semifasciata	N	N	x	N	N	N	3
Libellula flavida	Libellula cyanea	N	N	N	x	N	N	4
Libellula fulva	Libellula quadrimaculata	N	N	N	x	N	N	4
Megalagrion eudytum	Megalagrion vagabundum	N	N	N	N	N	x	6
Megalagrion mauka	Megalagrion paludicola	N	N	N	N	N	x	6
Megalagrion nesiotes	Megalagrion oahuense	N	N	N	N	N	x	6
Megalagrion orobates	Megalagrion oresitrophum	N	N	N	N	N	x	6
Megalagrion xanthomelas	Megalagrion pacificum	N	N	N	N	N	x	6
Mnais costalis	Mnais pruinosa	N	N	N	N	N	x	6
Nehalennia gracilis	Nehalennia irene	N	x	N	N	N	N	2
Nehalennia irene	Nehalennia gracilis	x	x	N	N	N	N	2
Onychogomphus forcipatus	Onychogomphus uncatus	N	N	x	N	N	N	3
Ophiogomphus rupinsulensis	Ophiogomphus carolus	N	N	N	N	N	x	6
Ophiogomphus severus	Ophiogomphus occidentis	N	N	N	x	N	N	4
Orthetrum albistylum	Orthetrum triangulare	N	N	x	N	N	N	3
Orthetrum albistylum	Orthetrum poecilops	N	N	x	N	N	N	3
Orthetrum cancellatum	Orthetrum albistylum	N	x	N	N	N	N	2
Platycnemis pennipes	Platycnemis acutipennis	N	N	N	N	x	N	5
Pseudagrion rubriceps	Pseudagrion microcephalum	N	N	x	N	N	N	3
Somatochlora albicincta	Somatochlora hudsonica	N	N	x	N	N	N	3
Somatochlora sahlbergi	Somatochlora albicinta	N	N	N	N	N	x	6
Somatochlora sahlbergi	Somatochlora hudsonica	N	N	N	N	N	x	6
Sympecma fusca	Sympecma paedisca	N	N	x	N	N	N	3
Sympetrum croceolum	Sympetrum uniforme	N	N	N	N	N	x	6
Sympetrum danae	Sympetrum sanguineum	N	N	x	N	N	N	3
Sympetrum darwinianum	Sympetrum maculatum	N	N	N	N	N	x	6
Sympetrum depressiusculum	Sympetrum fonscolombii	N	N	x	N	N	N	3
Sympetrum depressiusculum	Sympetrum frequens	N	N	N	N	N	x	6
Sympetrum eroticum	Sympetrum parvulum	N	N	N	N	N	x	6
Sympetrum eroticum	Sympetrum pedemontanum	N	N	N	N	N	x	6
Sympetrum eroticum	Sympetrum darwinianum	N	N	x	N	N	N	3
Sympetrum eroticum	Sympetrum baccha	N	N	N	x	x	x	6
Sympetrum frequens	Sympetrum infuscatum	N	N	x	x	N	N	4
Sympetrum infuscatum	Sympetrum maculatum	N	N	N	x	N	N	4
Sympetrum internum	Sympetrum rubicundulum	N	N	N	x	N	N	4
Sympetrum kunckeli	Sympetrum darwinianum	N	N	N	x	N	N	4
Sympetrum meridionale	Sympetrum striolatum	N	x	N	N	N	N	2
Sympetrum obtrusum	Sympetrum danae	N	N	x	N	N	N	3
Sympetrum risi	Sympetrum infuscatum	N	N	N	x	N	N	4
Sympetrum risi	Sympetrum eroticum	x	N	N	N	N	N	1
Sympetrum rubicundulum	Sympetrum obtrusum	N	N	x	N	N	N	3
Sympetrum sanguineum	Sympetrum meridionale	x	N	N	N	N	N	1
Sympetrum sanguineum	Sympetrum flaveolum	x	N	x	N	N	N	3
Sympetrum sanguineum	Sympetrum vulgatum	N	N	x	N	N	N	3
Sympetrum sanguineum	Sympetrum striolatum	N	N	N	x	N	N	4
Sympetrum striolatum	Sympetrum sanguineum	N	N	x	N	N	N	3
